"","effect","cause","menas"
"231","O_ventralis","N_sexfasciatus","NA's  :1"
"232","O_ventralis","P_microlepis","Min.   :-0.30683001229702"
"233","O_ventralis","P_microlepis","1st Qu.:-0.118538020073187"
"234","O_ventralis","P_microlepis","Median :-0.0512373679623185"
"235","O_ventralis","P_microlepis","Mean   :-0.0372579824148894"
"236","O_ventralis","P_microlepis","3rd Qu.:0.0564768943463031"
"237","O_ventralis","P_microlepis","Max.   :0.270095375091778"
"238","O_ventralis","P_microlepis","NA's  :1"
"239","O_ventralis","P_trewavasae","Min.   :-0.178790535208829"
"240","O_ventralis","P_trewavasae","1st Qu.:0.000487883461799635"
"241","O_ventralis","P_trewavasae","Median :0.0750199941259936"
"242","O_ventralis","P_trewavasae","Mean   :0.0938639157855643"
"243","O_ventralis","P_trewavasae","3rd Qu.:0.189865420361461"
"244","O_ventralis","P_trewavasae","Max.   :0.445027602880888"
"245","O_ventralis","P_trewavasae","NA's  :1"
"246","O_ventralis","V_moorii","Min.   :-0.859411979012449"
"247","O_ventralis","V_moorii","1st Qu.:-0.640730167829962"
"248","O_ventralis","V_moorii","Median :-0.480411289143574"
"249","O_ventralis","V_moorii","Mean   :-0.503843372418891"
"250","O_ventralis","V_moorii","3rd Qu.:-0.375120403136621"
"251","O_ventralis","V_moorii","Max.   :-0.125668174693154"
"252","O_ventralis","V_moorii","NA's  :1"
"253","A_dewindti","A_dewindti","Min.   :0.0275643042335238"
"254","A_dewindti","A_dewindti","1st Qu.:0.110133065294005"
"255","A_dewindti","A_dewindti","Median :0.154454761844737"
"256","A_dewindti","A_dewindti","Mean   :0.154496147871509"
"257","A_dewindti","A_dewindti","3rd Qu.:0.176725486243915"
"258","A_dewindti","A_dewindti","Max.   :0.444362101782503"
"259","A_dewindti","A_dewindti","NA's  :1"
"260","A_dewindti","I_loocki","Min.   :0.222856869207547"
"261","A_dewindti","I_loocki","1st Qu.:0.341073960691453"
"262","A_dewindti","I_loocki","Median :0.386558563693253"
"263","A_dewindti","I_loocki","Mean   :0.388169908547537"
"264","A_dewindti","I_loocki","3rd Qu.:0.419277026592144"
"265","A_dewindti","I_loocki","Max.   :0.785783514855506"
"266","A_dewindti","I_loocki","NA's  :1"
"267","A_dewindti","J_ornatus","Min.   :-0.445788684852124"
"268","A_dewindti","J_ornatus","1st Qu.:-0.0383979366525469"
"269","A_dewindti","J_ornatus","Median :0.097404105179715"
"270","A_dewindti","J_ornatus","Mean   :0.13198919997132"
"271","A_dewindti","J_ornatus","3rd Qu.:0.275910713954411"
"272","A_dewindti","J_ornatus","Max.   :0.817005546220117"
"273","A_dewindti","J_ornatus","NA's  :1"
"274","A_dewindti","L_dardennii","Min.   :0.124440680430569"
"275","A_dewindti","L_dardennii","1st Qu.:0.23008576966593"
"276","A_dewindti","L_dardennii","Median :0.273924074737947"
"277","A_dewindti","L_dardennii","Mean   :0.263352916435333"
"278","A_dewindti","L_dardennii","3rd Qu.:0.317277009367757"
"279","A_dewindti","L_dardennii","Max.   :0.382140713240232"
"280","A_dewindti","L_dardennii","NA's  :1"
"281","A_dewindti","N_fasciatus","Min.   :-0.225354717726018"
"282","A_dewindti","N_fasciatus","1st Qu.:-0.0333697542285795"
"283","A_dewindti","N_fasciatus","Median :0.102682920029435"
"284","A_dewindti","N_fasciatus","Mean   :0.0941001347699719"
