"","Strength","ratio","effect_cause","effect.x","cause.x","Smap_cum_sum","Smap_abs_mean","Neg","Pos"
"86","Positive",1,"T_moorii_Paracyprichromisspp","T_moorii","Paracyprichromisspp",9.04760073487408,0.238094756180897,0,1
"87","Negative",1,"T_moorii_P_microlepis","T_moorii","P_microlepis",9.83972525871008,0.258940138387107,1,0
"88","Positive",0.578947368421053,"T_moorii_P_trewavasae","T_moorii","P_trewavasae",0.759933806167151,0.056488939950184,0,1
"89","Positive",0.947368421052632,"T_vittatus_A_dewindti","T_vittatus","A_dewindti",8.53841508179075,0.230031673338673,0,1
"90","Positive",0.973684210526316,"T_vittatus_J_ornatus","T_vittatus","J_ornatus",12.504786913302,0.343596300327028,0,1
"91","Positive",0.921052631578947,"T_vittatus_L_dardennii","T_vittatus","L_dardennii",6.03414069146958,0.164347856345722,0,1
"92","Negative",0.684210526315789,"T_vittatus_N_fasciatus","T_vittatus","N_fasciatus",2.45272509200891,0.131450098603619,1,0
"93","Negative",0.842105263157895,"T_vittatus_N_sexfasciatus","T_vittatus","N_sexfasciatus",6.34667970535761,0.202008019786897,1,0
"94","Positive",0.710526315789474,"T_vittatus_P_polyodon","T_vittatus","P_polyodon",2.69224015322917,0.130505954887487,0,1
"95","Positive",0.736842105263158,"T_vittatus_S_multipunctatus","T_vittatus","S_multipunctatus",3.69267730167107,0.153399905903707,0,1
"96","Positive",0.605263157894737,"L_dardennii_G_pfefferi","L_dardennii","G_pfefferi",2.57465277858499,0.358217252805302,0,1
"97","Negative",0.815789473684211,"L_dardennii_L_callipterus","L_dardennii","L_callipterus",15.642816121204,0.458317693043369,1,0
"98","Positive",0.526315789473684,"L_dardennii_P_microlepis","L_dardennii","P_microlepis",3.39726275232951,0.379819565508449,0,1
"99","Negative",0.763157894736842,"L_dardennii_T_moorii","L_dardennii","T_moorii",9.07840597835748,0.352477874969704,1,0
"100","Negative",0.894736842105263,"L_tanganicanus_I_loocki","L_tanganicanus","I_loocki",4.88677517643361,0.14435833752441,1,0
"101","Positive",0.947368421052632,"L_tanganicanus_L_attenuatus","L_tanganicanus","L_attenuatus",53.3633933389421,1.41319022736236,0,1
"102","Negative",0.578947368421053,"L_tanganicanus_L_callipterus","L_tanganicanus","L_callipterus",1.07725342618832,0.311597337201523,1,0
"103","Positive",0.973684210526316,"J_ornatus_L_callipterus","J_ornatus","L_callipterus",29.6999999098871,0.789223319335115,0,1
"104","Positive",0.868421052631579,"J_ornatus_O_ventralis","J_ornatus","O_ventralis",7.00106124809628,0.23395729930896,0,1
"105","Negative",0.657894736842105,"J_ornatus_P_microlepis","J_ornatus","P_microlepis",7.83602320333631,0.36350108197328,1,0
"106","Negative",0.710526315789474,"J_ornatus_X_papilio","J_ornatus","X_papilio",5.8521609392059,0.327285733070356,1,0
"107","Negative",0.921052631578947,"Paracyprichromisspp_J_ornatus","Paracyprichromisspp","J_ornatus",14.1785077982905,0.393210190452981,1,0
"108","Positive",0.578947368421053,"Paracyprichromisspp_L_lemairii","Paracyprichromisspp","L_lemairii",1.70703083418469,0.265913063365366,0,1
"109","Positive",1,"L_attenuatus_P_trewavasae","L_attenuatus","P_trewavasae",5.43718839869045,0.143083905228696,0,1
"110","Positive",1,"L_attenuatus_T_moorii","L_attenuatus","T_moorii",7.74032299457816,0.203692710383636,0,1
