"","effect","cause","menas"
"174","O_ventralis","I_loocki","Max.   :0.0194425523529722"
"175","O_ventralis","J_ornatus","Min.   :-0.536461124926721"
"176","O_ventralis","J_ornatus","1st Qu.:-0.0340236291007376"
"177","O_ventralis","J_ornatus","Median :0.122442601218033"
"178","O_ventralis","J_ornatus","Mean   :0.165042701225571"
"179","O_ventralis","J_ornatus","3rd Qu.:0.424401192181498"
"180","O_ventralis","J_ornatus","Max.   :0.738186712402996"
"181","O_ventralis","L_callipterus","Min.   :-0.644613051195102"
"182","O_ventralis","L_callipterus","1st Qu.:-0.353131039960181"
"183","O_ventralis","L_callipterus","Median :-0.207280193621857"
"184","O_ventralis","L_callipterus","Mean   :-0.204532000136849"
"185","O_ventralis","L_callipterus","3rd Qu.:-0.0891728537881774"
"186","O_ventralis","L_callipterus","Max.   :0.283339759390572"
"187","O_ventralis","N_fasciatus","Min.   :-1.02376520118412"
"188","O_ventralis","N_fasciatus","1st Qu.:-0.665140789434256"
"189","O_ventralis","N_fasciatus","Median :-0.297046715635262"
"190","O_ventralis","N_fasciatus","Mean   :-0.389484586722246"
"191","O_ventralis","N_fasciatus","3rd Qu.:-0.12971376545787"
"192","O_ventralis","N_fasciatus","Max.   :0.0880378095405108"
"193","O_ventralis","N_sexfasciatus","Min.   :-0.636225623341599"
"194","O_ventralis","N_sexfasciatus","1st Qu.:-0.329128202969539"
"195","O_ventralis","N_sexfasciatus","Median :-0.205321143202695"
"196","O_ventralis","N_sexfasciatus","Mean   :-0.214923481825776"
"197","O_ventralis","N_sexfasciatus","3rd Qu.:-0.0935004731934934"
"198","O_ventralis","N_sexfasciatus","Max.   :0.194839416131526"
"199","O_ventralis","P_microlepis","Min.   :-0.306830012297019"
"200","O_ventralis","P_microlepis","1st Qu.:-0.116799086880632"
"201","O_ventralis","P_microlepis","Median :-0.0532249326845765"
"202","O_ventralis","P_microlepis","Mean   :-0.0384419093385664"
"203","O_ventralis","P_microlepis","3rd Qu.:0.0554342332873073"
"204","O_ventralis","P_microlepis","Max.   :0.27009537509178"
"205","O_ventralis","P_trewavasae","Min.   :-0.178790535208828"
"206","O_ventralis","P_trewavasae","1st Qu.:0.00178068866827538"
"207","O_ventralis","P_trewavasae","Median :0.0776337934111465"
"208","O_ventralis","P_trewavasae","Mean   :0.0979444493643963"
"209","O_ventralis","P_trewavasae","3rd Qu.:0.193765384675085"
"210","O_ventralis","P_trewavasae","Max.   :0.445027602880889"
"211","O_ventralis","V_moorii","Min.   :-0.859411979012446"
"212","O_ventralis","V_moorii","1st Qu.:-0.639872493088889"
"213","O_ventralis","V_moorii","Median :-0.478604578974342"
"214","O_ventralis","V_moorii","Mean   :-0.499378541856024"
"215","O_ventralis","V_moorii","3rd Qu.:-0.36279341018574"
"216","O_ventralis","V_moorii","Max.   :-0.125668174693151"
"217","A_dewindti","A_dewindti","Min.   :0.0275643042335236"
"218","A_dewindti","A_dewindti","1st Qu.:0.109005677643813"
"219","A_dewindti","A_dewindti","Median :0.1498167773358"
"220","A_dewindti","A_dewindti","Mean   :0.152782307082081"
"221","A_dewindti","A_dewindti","3rd Qu.:0.176681945473534"
"222","A_dewindti","A_dewindti","Max.   :0.444362101782503"
"223","A_dewindti","I_loocki","Min.   :0.222856869207546"
"224","A_dewindti","I_loocki","1st Qu.:0.342532364389726"
"225","A_dewindti","I_loocki","Median :0.384805700955695"
"226","A_dewindti","I_loocki","Mean   :0.388083646814412"
"227","A_dewindti","I_loocki","3rd Qu.:0.418216822517705"
"228","A_dewindti","I_loocki","Max.   :0.785783514855504"
"229","A_dewindti","J_ornatus","Min.   :-0.445788684852123"
"230","A_dewindti","J_ornatus","1st Qu.:-0.0237535621749169"
"231","A_dewindti","J_ornatus","Median :0.104525038305232"
"232","A_dewindti","J_ornatus","Mean   :0.135610912239738"
"233","A_dewindti","J_ornatus","3rd Qu.:0.2758260688325"
"234","A_dewindti","J_ornatus","Max.   :0.817005546220115"
"235","A_dewindti","L_dardennii","Min.   :0.12444068043057"
"236","A_dewindti","L_dardennii","1st Qu.:0.233167573136205"
